speaker,start,end
0,0.0,19.12
1,17.58,42.82
0,41.1,157.66
1,84.48,86.86
1,126.36,128.98
1,156.12,214.06
0,168.24,171.1
0,212.52,219.04
1,217.5,235.12
0,231.78,253.42
1,251.88,274.66
0,273.12,292.3
1,290.76,299.98
0,298.44,303.82
1,302.28,354.58
0,316.38,318.04
0,353.04,372.16
1,363.66,365.5
1,370.62,379.78
0,374.1,398.08
1,396.54,401.92
0,400.38,444.04
1,438.66,441.34
1,442.5,445.84
0,444.3,461.56
1,455.1,457.12
